index,Training Set,Validation Set,Testing Set
Loss,-0.9255762100219727,-0.8824273347854614,-0.8789092302322388
IOU,0.866719663143158,0.7984026074409485,0.7904411554336548
Dice Coefficient,0.9250606298446655,0.8797447085380554,0.8785319924354553
